gene_id	gene	product	protein_id	old_locus_tag	A1A_S7	A1B_S8	A1C_S9	A2A_S10	A2B_S11	A2C_S12	A3A_S13	A3B_S14	A3C_S15	C1A_S16	C1B_S17	C1C_S18	C2A_60ng_S19	C2B_100ng_S20	C2B_60ng_S21	C2C_100ng_S22	C2C_60ng_S23	C3A_100ng_S24	C3A_60ng_S25	C3B_60ng_S26	C3C_100ng_S27	C3C_60ng_S28	C4A_S29	C4B_S30	C4C_S31	C5A_S32	C5B_S33	C5C_S34	Mock_S35	P6A_S1	P6B_S2	P6C_S3	P7A_S4	P7B_S5	P7C_S6
TX50_RS00020	dnaN	DNA polymerase III subunit beta	WP_011131639.1		0	0	0	1	0	4	0	0	0	1119	2394	5314	613	2227	1322	3769	3045	355	519	2220	1046	812	1384	989	1526	1303	591	765	0	3076	3135	2995	2956	4869	4302
TX50_RS00025		hypothetical protein	WP_011131640.1		2	2	0	0	0	0	0	0	0	127	331	450	93	141	94	268	183	26	34	106	29	41	86	56	93	85	23	66	2	427	310	491	111	198	191
TX50_RS00030	purL	phosphoribosylformylglycinamidine synthase subunit PurL	WP_011131641.1		0	4	3	3	3	4	2	0	5	359	907	1796	238	542	314	1061	864	239	324	961	471	418	671	500	1169	513	328	518	0	1162	1365	1266	1878	3482	3459
TX50_RS00035	purF	amidophosphoribosyltransferase	WP_011131642.1		0	1	1	0	0	4	0	0	0	326	767	540	181	385	263	692	517	102	125	492	150	138	328	289	404	238	115	209	0	914	1196	1035	516	1070	1166
TX50_RS00040		DNA topoisomerase 4 subunit A	WP_011131643.1		0	8	0	2	5	0	4	7	0	600	1572	2758	408	1242	808	1833	1354	182	262	745	313	299	621	489	689	491	218	354	0	1761	2014	1799	1399	1297	1216
TX50_RS00045		tetratricopeptide repeat protein	WP_011131644.1		0	0	0	0	0	3	1	0	0	113	212	538	111	150	107	249	243	17	87	221	69	45	134	97	79	80	33	55	0	273	200	305	250	517	345
TX50_RS00050	queG	tRNA epoxyqueuosine(34) reductase QueG	WP_011131645.1		0	0	0	1	0	0	0	1	0	136	279	897	139	299	159	562	429	106	176	547	275	182	301	296	457	186	87	166	0	342	328	440	598	854	839
TX50_RS00055		DUF502 domain-containing protein	WP_011131646.1		0	0	1	0	0	1	0	1	0	1796	2625	4991	419	2680	1783	4867	3427	656	862	3727	1286	1117	1591	1202	2201	1290	604	835	0	3094	4225	4110	1721	1673	1872
TX50_RS00060	nusB	transcription antitermination factor NusB	WP_036930720.1		0	0	0	5	0	0	0	0	2	161	436	605	94	198	125	438	303	65	59	140	80	70	136	53	72	114	28	93	0	499	497	524	113	150	124
TX50_RS00065	ftsY	signal recognition particle-docking protein FtsY	WP_011131648.1		0	0	0	2	0	5	0	3	4	289	522	294	92	219	186	291	274	75	114	324	102	69	199	217	343	108	84	123	1	715	788	643	104	113	114
TX50_RS00070		serine/threonine-protein phosphatase	WP_011131649.1		3	2	0	0	0	4	0	0	0	132	322	200	88	123	69	228	185	29	42	148	40	50	60	98	131	90	29	64	0	418	437	407	79	88	92
TX50_RS00075	argH	argininosuccinate lyase	WP_011131650.1		0	3	0	0	0	0	0	0	0	288	727	1199	96	363	314	644	402	51	125	370	100	109	306	208	309	208	83	130	0	858	1037	1019	255	515	413
TX50_RS00080		RNA-binding protein	WP_042116203.1		0	11	0	0	0	6	1	0	0	2756	7112	5368	1569	4114	2757	5383	3544	1587	2451	4538	3926	3351	3425	2655	3608	1947	1021	1557	2	11401	10720	12009	3055	3646	4406
TX50_RS00085	dusA	tRNA dihydrouridine(20/20a) synthase DusA	WP_011131652.1		0	0	0	0	1	4	0	2	0	43	193	218	70	116	92	237	172	56	54	177	84	78	112	88	126	305	49	73	0	179	225	240	166	246	341
TX50_RS00090	msrB	peptide-methionine (R)-S-oxide reductase MsrB	WP_011131653.1		0	0	0	0	0	5	0	0	0	269	504	420	256	490	264	659	390	278	319	551	444	372	464	464	697	393	241	387	0	751	686	839	341	374	443
TX50_RS00095	grpE	nucleotide exchange factor GrpE	WP_011131654.1		0	0	0	0	0	0	0	0	0	1436	3559	1148	1517	2280	1585	3285	2212	792	1526	4471	1922	1635	2089	1851	2414	1106	619	1041	5	5137	5894	4676	902	1048	1407
TX50_RS00100	dnaJ	molecular chaperone DnaJ	WP_011131655.1		0	0	0	0	0	0	0	0	0	328	1084	897	327	727	419	1004	745	361	515	1178	633	560	689	714	1202	637	465	518	3	1531	1893	1705	549	638	868
TX50_RS00105		sulfurtransferase TusA family protein	WP_011131656.1		0	0	0	0	0	0	0	0	0	62	181	123	37	54	56	148	107	51	91	158	71	98	101	129	186	122	78	115	0	226	332	257	91	112	107
TX50_RS00110	rsgA	ribosome small subunit-dependent GTPase A	WP_011131657.1		0	0	1	0	0	7	0	0	0	24	129	81	65	73	31	96	50	95	111	113	140	127	108	95	71	180	23	65	0	165	160	147	144	188	155
TX50_RS00115		YbaB/EbfC family nucleoid-associated protein	WP_011131658.1		2	0	0	0	2	0	1	0	0	2122	3911	4580	873	2086	1369	3328	2655	250	326	1318	422	399	591	547	375	736	447	497	2	4386	4040	4000	1022	1010	933
TX50_RS00120	murB	UDP-N-acetylmuramate dehydrogenase	WP_011131659.1		0	1	0	1	4	0	0	1	0	34	94	65	43	39	11	53	25	18	21	53	44	33	50	54	24	21	13	17	0	108	87	94	34	26	18
TX50_RS00125	murC	UDP-N-acetylmuramate--L-alanine ligase	WP_011131660.1		2	0	0	0	1	6	2	2	0	100	358	290	123	166	97	181	158	36	99	291	134	122	152	169	205	89	36	61	0	402	345	404	120	137	118
TX50_RS00130	gap	type I glyceraldehyde-3-phosphate dehydrogenase	WP_011131661.1		0	0	1	0	2	24	1	2	2	8136	22217	3621	2184	5788	3598	9540	7219	1410	1192	3585	766	688	1302	1712	1756	2213	1120	1860	3	26709	30740	29482	806	955	1205
TX50_RS00135		thiamine-phosphate kinase	WP_011131662.1		0	0	0	3	0	0	0	0	0	214	550	347	153	211	144	353	224	58	75	308	144	153	198	171	195	216	82	139	0	529	576	612	219	290	267
TX50_RS00140		peptidylprolyl isomerase	WP_011131663.1		0	7	0	9	4	0	4	2	3	2761	4881	1874	1905	2362	1523	2648	2207	554	630	1553	961	898	1324	1356	694	1648	798	1163	2	6001	6726	6824	683	768	573
TX50_RS00145	efp	elongation factor P	WP_011131664.1		0	0	0	1	0	0	0	2	0	1203	2599	1339	339	919	624	1771	1271	249	389	1612	352	273	557	486	1010	513	206	291	0	2634	3860	3929	254	266	414
TX50_RS00150	accB	acetyl-CoA carboxylase biotin carboxyl carrier protein	WP_011131665.1		0	0	1	0	0	0	0	0	0	1225	2847	2080	335	1062	646	1923	1449	384	406	1514	498	376	653	547	727	715	372	569	0	3425	4050	3695	446	688	589
TX50_RS00155	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	WP_011131666.1		0	1	0	0	0	0	0	0	0	85	245	309	61	93	51	206	185	41	56	175	99	60	89	65	88	127	61	70	0	294	327	308	245	332	331
TX50_RS00160		SDR family oxidoreductase	WP_011131667.1		0	0	1	3	2	0	0	0	0	202	581	321	125	169	107	230	198	42	83	210	114	38	109	113	60	62	61	72	1	834	798	841	179	216	210
TX50_RS00165		transcription factor TFIID	WP_152556136.1		0	0	0	0	0	1	1	0	0	37	45	2695	42	144	56	152	121	11	14	109	31	33	53	55	35	31	4	5	0	96	83	102	416	2658	831
TX50_RS00170		HNH endonuclease	WP_011131669.1		0	0	0	0	0	0	0	1	0	371	605	827	127	307	171	535	479	60	126	379	165	112	283	242	291	178	46	117	4	831	863	942	132	195	184
TX50_RS00175		hypothetical protein	WP_011131670.1		0	0	0	1	0	0	0	0	0	54	115	370	57	103	97	206	174	24	64	180	62	37	142	100	204	39	33	89	0	165	164	201	222	225	207
TX50_RS00180		AbrB family transcriptional regulator	WP_011131671.1		0	1	0	0	0	9	0	0	0	227	454	1767	105	631	395	915	563	105	137	473	172	161	218	217	280	197	139	120	0	601	925	637	1318	1267	1176
TX50_RS00185		hypothetical protein	WP_011131672.1		0	0	0	0	4	0	0	0	0	1167	1724	1815	431	1662	1048	2539	1653	322	626	2665	1283	1028	927	852	1501	750	415	403	2	2446	2359	2369	396	393	397
TX50_RS00190		alanine--glyoxylate aminotransferase family protein	WP_036930403.1		0	3	1	0	0	0	2	0	0	1165	2227	6426	869	2051	1394	2907	2139	239	384	1346	441	382	1042	715	676	680	349	555	0	2686	3060	2832	2078	2231	1856
TX50_RS00195	cbiD	cobalt-precorrin-5B (C(1))-methyltransferase CbiD	WP_011131674.1		0	0	0	2	0	0	0	0	0	133	333	429	77	175	104	323	222	23	53	234	74	58	152	80	150	108	23	77	0	405	532	515	159	277	328
TX50_RS00200	guaA	glutamine-hydrolyzing GMP synthase	WP_011131675.1		0	1	0	0	0	14	1	0	4	541	1288	2520	248	834	552	1346	1038	221	274	715	343	349	566	491	530	405	206	304	5	1500	1695	1792	1134	1704	1309
TX50_RS00205		PD-(D/E)XK nuclease family protein	WP_011131676.1		0	0	4	0	0	0	0	0	2	59	155	165	60	70	40	107	75	17	26	66	30	19	48	48	59	55	31	25	0	143	174	188	104	126	95
TX50_RS00210		hypothetical protein	WP_011131677.1		0	0	0	1	0	0	0	0	0	259	634	924	70	368	281	609	439	36	102	490	174	147	258	202	450	176	68	120	0	806	827	727	281	387	374
TX50_RS00215	mrdA	penicillin-binding protein 2	WP_011131678.1		0	0	0	3	3	0	0	1	0	117	239	253	106	161	103	230	200	79	69	204	115	90	155	147	228	109	80	101	0	346	360	372	117	202	223
TX50_RS00220		NAD(P)H-dependent oxidoreductase	WP_011131679.1		0	0	0	0	3	2	0	0	0	319	870	134	238	256	154	257	241	42	54	177	64	54	165	136	83	135	118	125	2	1062	1093	1175	55	93	82
TX50_RS00225		diflavin flavoprotein	WP_011131680.1		1	0	0	3	0	0	0	0	0	196	644	316	223	287	177	486	349	125	179	493	268	209	285	286	559	322	155	221	1	905	801	921	202	243	277
